year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Dante Fowler, Jr.,Dante,Fowler, Jr.,OLB,6,3.0000,75.0000,261,0.0000,0.0000,4.6000,0.0000,0.0000,4.3200,7.4000,32.5000,112,19,0,Florida,,0,0,0,6.4
2015,Alani Fua,Alani,Fua,OLB,6,5.0000,77.0000,238,0.0000,0.0000,4.7300,0.0000,0.0000,4.1500,6.8300,34.5000,118,18,0,BYU,,0,0,0,5.3
2015,Devin Funchess,Devin,Funchess,WR,6,4.0000,76.0000,232,0.0000,0.0000,4.7000,0.0000,0.0000,0.0000,0.0000,38.5000,122,17,0,Michigan,,0,0,0,5.6
2015,Charles Gaines,Charles,Gaines,CB,5,10.0000,70.0000,180,0.0000,0.0000,4.4400,0.0000,0.0000,4.2000,7.0700,34.5000,123,0,0,Louisville,,0,0,0,5.5
2015,Andy Gallik,Andy,Gallik,C,6,2.0000,74.0000,306,0.0000,0.0000,5.5000,0.0000,0.0000,4.5800,7.6600,27.0000,96,29,0,Boston College,,0,0,0,5.5
2015,Max Garcia,Max,Garcia,C,6,4.0000,76.0000,309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Florida,,0,0,0,5.2
2015,Clayton Geathers,Clayton,Geathers,SS,6,2.0000,74.0000,218,0.0000,0.0000,4.5500,0.0000,0.0000,4.2700,7.2100,37.0000,120,22,0,Central Florida,,0,0,0,5.2
2015,Laurence Gibson,Laurence,Gibson,OT,6,6.0000,78.0000,305,0.0000,0.0000,5.0400,0.0000,0.0000,4.5600,7.7200,33.5000,113,24,0,Virginia Tech,,0,0,0,4.9
2015,Jacoby Glenn,Jacoby,Glenn,CB,6,0.0000,72.0000,179,0.0000,0.0000,4.6400,0.0000,0.0000,4.2600,6.9700,34.0000,123,0,0,Central Florida,,0,0,0,5.2
2015,Mark Glowinski,Mark,Glowinski,OG,6,4.0000,76.0000,307,0.0000,0.0000,5.2000,0.0000,0.0000,4.5800,7.5600,29.5000,113,31,0,West Virginia,,0,0,0,5.4
2015,Markus Golden,Markus,Golden,DE,6,2.0000,74.0000,260,0.0000,0.0000,4.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Missouri,,0,0,0,5.5
2015,Eddie Goldman,Eddie,Goldman,DT,6,4.0000,76.0000,336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Florida St.,,0,0,0,6.1
2015,Senquez Golson,Senquez,Golson,CB,5,9.0000,69.0000,176,0.0000,0.0000,4.4600,0.0000,0.0000,4.2000,6.8100,33.5000,120,15,0,Mississippi,,0,0,0,5.8
2015,Antwan Goodley,Antwan,Goodley,WR,5,10.0000,70.0000,209,0.0000,0.0000,4.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Baylor,,0,0,0,5.5
2015,Melvin Gordon,Melvin,Gordon,RB,6,1.0000,73.0000,215,0.0000,0.0000,4.5200,0.0000,0.0000,4.0700,7.0400,35.0000,126,19,0,Wisconsin,,0,0,0,6.2
2015,Doran Grant,Doran,Grant,CB,5,10.0000,70.0000,200,0.0000,0.0000,4.4400,0.0000,0.0000,4.3300,0.0000,33.0000,116,21,0,Ohio St.,,0,0,0,5.3
2015,Hroniss Grasu,Hroniss,Grasu,C,6,3.0000,75.0000,297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Oregon,,0,0,0,5.7
