
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
82,Wayne Chrebet,NYJ,29,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
83,Chris Doering,WAS,29,,15,3,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
84,Kevin Faulk,NWE,26,,15,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
85,Bubba Franks*,GNB,24,TE,16,15,,1,1,100.0,31,1,100.0,0,0.0,31,31.0,51.0,31.0,1.9,158.3,0,0,31.00,51.00,0.0,,
86,Jabar Gaffney,HOU,22,WR,16,14,,1,1,100.0,39,1,100.0,0,0.0,39,39.0,59.0,39.0,2.4,158.3,0,0,39.00,59.00,0.0,,
87,Rod Gardner,WAS,25,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
88,Todd Heap*,BAL,22,TE,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
89,Craig Hentrich,TEN,31,,16,0,,1,1,100.0,17,0,0.0,0,0.0,17,17.0,17.0,17.0,1.1,118.7,0,0,17.00,17.00,0.0,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
90,Priest Holmes*+,KAN,29,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
91,Frisman Jackson,CLE,23,,7,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
92,Leon Johnson,CHI,28,,16,4,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.0,27.0,1.7,118.7,1,0,13.50,13.50,50.0,,
93,Terry Kirby,OAK,32,,6,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
94,Kevin Lockett,2TM,28,,13,4,,1,1,100.0,14,1,100.0,0,0.0,14,14.0,34.0,14.0,1.1,158.3,0,0,14.00,34.00,0.0,,
95,Brad Maynard,CHI,28,,16,0,,1,1,100.0,12,1,100.0,0,0.0,12,12.0,32.0,12.0,0.8,156.2,0,0,12.00,32.00,0.0,,
96,Brian Mitchell,PHI,34,,16,0,,1,1,100.0,57,1,100.0,0,0.0,57,57.0,77.0,57.0,3.6,158.3,0,0,57.00,77.00,0.0,,
97,Freddie Mitchell,PHI,24,,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
98,Chris Mohr,ATL,36,,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
99,David Patten,NWE,28,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
100,Ricky Proehl,STL,34,,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1,1,-0.50,-0.50,50.0,,
101,Rod Smith,DEN,32,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
102,James Stewart,DET,31,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
103,Tom Tupa,TAM,36,,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
104,Matt Turk,NYJ,34,,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
105,Brian Urlacher*+,CHI,24,MLB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
106,Brian Westbrook,PHI,23,,15,3,,1,1,100.0,25,1,100.0,0,0.0,25,25.0,45.0,25.0,1.7,158.3,0,0,25.00,45.00,0.0,,
107,Dave Zastudil,BAL,24,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
