
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
151,Courtney Brown,CLE,25,LDE,13,13,0,0,0,0,4,4,0,1,0,0,6.0,28,9,
152,Eric Brown,HOU,28,SS,16,16,1,5,0,5,3,3,1,0,0,0,0.5,72,23,
153,Fakhir Brown,NOR,26,,16,0,0,0,0,0,8,,,,,,,29,5,
154,Gilbert Brown,GNB,32,LDT,14,14,0,0,0,0,1,0,0,1,0,0,,7,2,
155,Josh Brown,SEA,24,,16,0,,,,,,,,,,,,3,1,
156,Kris Brown,HOU,27,,16,0,,,,,,,,,,,,4,0,
157,Mike Brown,CHI,25,FS,16,16,2,0,0,0,6,,,,,,,62,14,
158,Orlando Brown,BAL,33,RT,16,13,,,,,,0,0,1,0,0,,,,
159,Ralph Brown,NYG,25,rcb,11,7,2,51,1,29,8,1,0,0,0,0,1.0,28,5,
160,Sheldon Brown,PHI,24,,16,3,1,10,0,10,11,1,0,0,0,0,1.0,41,7,
161,Tim Brown,OAK,37,WR,16,15,,,,,,,,,,,,1,0,
162,Troy Brown,NWE,32,WR,12,10,,,,,,0,2,1,0,0,,,,
163,John Browning,KAN,30,LDT,16,16,0,0,0,0,2,0,0,1,7,0,0.5,36,6,
164,Isaac Bruce,STL,31,WR,15,15,,,,,,,,,,,,4,0,
165,Tedy Bruschi,NWE,30,MLB,16,16,3,26,2,18,14,3,0,1,13,0,2.0,79,52,
166,Daryon Brutley,PHI,24,,1,0,,,,,,,,,,,,0,1,
167,Antonio Bryant,DAL,22,wr,16,5,,,,,,,,,,,,3,0,
168,Fernando Bryant,JAX,26,LCB,16,16,1,0,0,0,9,,,,,,,61,9,
169,Matt Bryant,NYG,28,,11,0,,,,,,,,,,,,4,0,
170,Wendell Bryant,ARI,23,ldt,12,5,,,,,,,,,,,,16,3,
171,Shawn Bryson,DET,27,RB,16,13,,,,,,0,2,2,0,0,,3,0,
172,Ray Buchanan,ATL,32,LCB,15,8,1,2,0,2,8,,,,,,,37,1,
173,Phillip Buchanon,OAK,23,RCB,16,10,6,176,2,83,10,2,3,2,0,0,,40,2,
174,Correll Buckhalter,PHI,25,rb,15,5,,,,,,0,3,0,0,0,,4,0,
175,Terrell Buckley,MIA,32,cb,16,5,2,75,1,74,7,1,1,4,8,0,,39,11,
176,Brentson Buckner,CAR,32,LDT,12,12,0,0,0,0,2,1,0,0,0,0,0.5,19,3,
177,Marc Bulger*,STL,26,QB,15,15,,,,,,0,8,2,0,0,,1,0,
178,Courtland Bullard,STL,25,,9,0,,,,,,,,,,,,3,0,
179,Keith Bulluck*+,TEN,26,RLB,16,16,2,9,0,9,6,5,0,2,32,1,3.0,104,31,
