
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
136,Tyrone Carter,MIN,24,fs,15,7,,,,,,1,0,0,0,0,,29,9,
137,Johndale Carty,ATL,23,,15,0,,,,,,,,,,,,2,0,
138,Larry Centers,WAS,32,fb,15,6,,,,,,0,1,1,0,0,,,,
139,Frank Chamberlin,TEN,22,,12,0,,,,,,,,,,,,0,1,
140,Chris Chandler,ATL,35,QB,14,13,,,,,,0,7,4,-13,0,,,,
141,Roger Chanoine,CLE,24,,7,0,,,,,,0,0,1,0,0,,,,
142,Lamar Chapman,CLE,24,,7,0,1,0,0,0,0,0,1,0,0,0,,11,0,
143,Ike Charlton,SEA,23,,16,0,,,,,,1,0,0,0,0,,11,2,
144,Martin Chase,NOR,26,,9,0,,,,,,,,,,,,3,0,
145,Corey Chavous,ARI,24,,16,1,1,0,0,0,0,,,,,,,40,3,
146,Je'Rod Cherry,PHI,27,,13,0,,,,,,0,0,1,0,0,,,,
147,Larry Chester,IND,25,,16,0,,,,,,0,0,1,0,0,2.5,10,6,
148,Wayne Chrebet,NYJ,27,WR,16,16,,,,,,0,0,1,0,0,,,,
149,Bob Christian,ATL,32,FB,16,14,,,,,,0,0,1,10,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Chris Claiborne,DET,22,RLB,16,14,1,1,0,1,0,3,0,0,0,0,0.5,65,39,
151,Kendrick Clancy,PIT,22,,9,0,,,,,,,,,,,,5,3,
152,Danny Clark,JAX,23,,16,0,,,,,,1,0,2,44,0,,4,0,
153,Greg Clark,SFO,28,TE,15,15,,,,,,0,1,1,0,0,,,,
154,Phil Clarke,NOR,23,,14,4,,,,,,0,0,1,0,0,1.0,15,5,
155,Anthony Clement,ARI,24,RT,16,16,,,,,,0,0,1,0,0,,,,
156,Duane Clemons,KAN,26,RDE,12,12,,,,,,1,0,1,0,0,7.5,47,9,
157,Rich Coady,STL,24,,12,2,,,,,,,,,,,,17,1,
158,Dexter Coakley,DAL,28,RLB,16,16,,,,,,0,0,1,8,0,,76,11,
159,Antonio Cochran,SEA,24,,15,0,,,,,,,,,,,0.5,19,3,
160,Nakia Codie,PIT,23,,6,0,1,14,0,14,0,,,,,,,,,
161,Mac Cody,ARI,28,,15,1,,,,,,0,4,1,0,0,,,,
162,George Coghill,DEN,30,,16,0,,,,,,,,,,,,1,0,
163,KaRon Coleman,DEN,22,,9,0,,,,,,0,2,1,0,0,,,,
164,Marco Coleman*,WAS,31,LDE,16,16,,,,,,2,0,0,0,0,12.0,41,11,
165,Marcus Coleman,NYJ,26,RCB,16,16,4,6,0,7,0,0,1,0,0,0,,50,6,
166,Roderick Coleman,OAK,24,,13,1,,,,,,0,0,1,0,0,6.0,16,4,
167,Stalin Colinet,CLE,26,RDT,16,16,,,,,,2,0,1,0,0,3.5,24,9,
168,Kerry Collins,NYG,28,QB,16,16,,,,,,0,7,1,-13,0,,,,
169,Todd Collins,STL,30,RLB,14,11,,,,,,1,0,0,0,0,1.0,22,2,
170,Rosevelt Colvin,CHI,23,LLB,13,8,,,,,,4,0,1,0,0,3.0,25,9,
171,Chris Combs,PIT,24,,6,0,,,,,,,,,,,,3,0,
172,Rashard Cook,PHI,23,,14,0,,,,,,,,,,,,0,1,
173,John Copeland,CIN,30,RDT/R,16,16,,,,,,0,0,1,4,0,1.0,32,7,
174,Chad Cota,IND,29,SS,16,16,2,3,0,3,0,,,,,,,67,20,
175,Terry Cousin,ATL,25,,15,0,,,,,,,,,,,,6,0,
176,Sam Cowart*,BUF,25,RILB,12,12,2,4,0,2,0,1,0,2,3,0,5.5,88,41,
177,Bryan Cox,NYJ,32,LILB,15,14,,,,,,3,0,2,0,0,6.0,54,27,
178,Jason Craft,JAX,24,,16,3,,,,,,0,0,1,4,0,,23,4,
179,Henri Crockett,ATL,26,RLB,15,12,,,,,,1,0,0,0,0,2.0,34,6,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Ray Crockett,DEN,33,LCB,13,11,4,31,1,26,0,1,0,0,0,0,1.0,35,3,
181,Zack Crockett,OAK,28,,16,4,,,,,,0,0,1,0,0,,,,
182,Brad Culpepper,CHI,31,,12,1,,,,,,,,,,,1.0,4,2,
183,Daunte Culpepper*,MIN,23,QB,16,16,,,,,,0,11,5,-23,0,,,,
184,Randall Cunningham,DAL,37,,6,3,,,,,,0,4,3,-2,0,,,,
185,Canute Curtis,CIN,26,,15,0,,,,,,2,0,1,0,0,2.0,8,2,
186,Antico Dalton,NWE,25,,3,0,,,,,,0,0,1,0,0,,,,
187,Lional Dalton,BAL,25,,16,1,,,,,,,,,,,,9,1,
188,Phillip Daniels,CHI,27,RDE,14,14,,,,,,0,0,1,0,0,6.0,37,5,
189,Tony Darden,SDG,25,,16,3,,,,,,,,,,,,13,2,
190,Donovin Darius,JAX,25,SS,16,16,2,26,0,21,0,1,0,0,0,0,1.0,65,20,
191,James Darling,PHI,26,,16,0,,,,,,,,,,,0.5,2,2,
192,Anthony Davis,BAL,31,,14,0,,,,,,,,,,,,3,2,
193,Don Davis,TAM,28,,16,0,,,,,,,,,,,,2,5,
194,Eric Davis,CAR,32,LCB,16,16,5,14,0,8,0,4,1,1,0,0,,61,12,
195,Reggie Davis,SDG,24,,10,0,,,,,,0,0,1,0,0,,,,
196,Rob Davis,GNB,32,,16,0,,,,,,0,0,1,0,0,,,,
197,Russell Davis,ARI,25,LDT,13,9,,,,,,1,0,0,0,0,0.5,30,8,
198,Stephen Davis*,WAS,26,RB,15,15,,,,,,0,4,1,0,0,,,,
199,Brian Dawkins,PHI,27,FS,13,13,4,62,0,32,0,1,0,2,0,0,2.0,54,17,
200,Pat Dennis,KAN,22,LCB,16,13,1,0,0,0,0,1,0,2,-5,0,,60,7,
201,Tim Denton,SDG,27,,5,0,,,,,,,,,,,,3,0,
202,Jared DeVries,DET,24,,15,1,,,,,,1,0,1,0,0,,15,7,
203,James Dexter,CAR,27,,9,2,,,,,,0,0,1,0,0,,,,
204,Na'il Diggs,GNB,22,LLB,13,12,,,,,,0,0,1,52,0,,25,9,
205,Trent Dilfer,BAL,28,QB,11,8,,,,,,0,8,1,-7,0,,,,
206,Adrian Dingle,SDG,23,,14,1,,,,,,1,0,0,0,0,2.5,14,8,
207,Chris Dishman,ARI,26,C/LG,14,12,,,,,,0,1,1,0,0,,,,
208,Cris Dishman,MIN,35,LCB,11,9,1,0,0,0,0,,,,,,,45,7,
209,David Dixon,MIN,31,RG,16,16,,,,,,0,0,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Gerald Dixon,SDG,31,LLB,16,16,1,36,1,36,0,0,0,1,0,0,5.0,53,9,
211,Anthony Dorsett,OAK,27,FS,16,16,,,,,,2,0,0,0,0,1.0,52,20,
212,Earl Dotson,GNB,30,,2,2,,,,,,0,0,1,0,0,,,,
213,Santana Dotson,GNB,31,RDT,12,11,,,,,,,,,,,6.0,23,15,
214,Hugh Douglas*+,PHI,29,RDE,16,15,1,9,0,9,0,2,0,0,0,0,15.0,44,12,
215,Marques Douglas,NOR,23,,1,0,,,,,,,,,,,,1,0,
216,Gary Downs,ATL,28,,16,0,,,,,,0,0,1,0,0,,,,
217,Chris Draft,ATL,24,LLB,13,8,,,,,,,,,,,1.0,42,14,
218,Tyronne Drakeford,WAS,29,,9,1,,,,,,,,,,,,3,2,
219,Donald Driver,GNB,25,,16,2,,,,,,0,0,1,0,0,,,,
220,Shane Dronett,ATL,29,,3,3,,,,,,,,,,,1.0,7,1,
221,Rickey Dudley,OAK,28,TE,16,16,,,,,,0,1,1,0,0,,,,
222,Mike Dumas,SDG,31,FS,12,12,1,56,1,56,0,,,,,,1.0,64,11,
223,Jamie Duncan,TAM,25,MLB,15,15,4,55,1,31,0,0,0,1,0,0,,48,17,
224,Tim Dwight,ATL,25,,14,1,,,,,,0,3,1,0,0,,,,
225,Chad Eaton,NWE,28,NT,14,13,,,,,,2,0,0,0,0,2.5,59,19,
